label,conns,rps,p50,p99,max,socket_err,non2xx,load1
direct /healthz,100,31016.53,2.88ms,21.52ms,NA,0,0,3.25
direct /healthz,400,30732.35,11.66ms,103.07ms,NA,0,0,4.44
direct /healthz,1000,29694.70,30.45ms,343.90ms,NA,0,0,5.93
direct /healthz,2000,29390.45,65.70ms,112.39ms,NA,0,0,7.18
direct /posts,50,8314.67,5.20ms,19.50ms,NA,0,0,9.97
direct /posts,100,8380.43,10.85ms,35.47ms,NA,0,0,12.32
direct /posts,200,6817.74,25.00ms,822.55ms,NA,0,0,14.46
direct /posts,400,7384.40,50.94ms,110.18ms,NA,0,0,17.43
direct /posts,800,7578.85,100.53ms,179.45ms,NA,0,0,18.41
nginx /healthz,100,12689.01,6.98ms,47.93ms,NA,0,0,8.20
nginx /healthz,400,13139.06,26.81ms,121.20ms,NA,0,0,12.59
nginx /healthz,1000,11764.92,72.82ms,1.09s,NA,0,0,16.23
nginx /healthz,2000,11788.49,105.46ms,3.24s,NA,connect 0; read 0; write 0; timeout 343,0,17.52
nginx /posts,50,5007.97,8.61ms,34.85ms,NA,0,0,18.55
nginx /posts,100,4601.49,19.23ms,100.06ms,NA,0,0,20.94
nginx /posts,200,5652.17,30.67ms,124.26ms,NA,0,0,21.82
nginx /posts,400,5257.12,68.49ms,288.03ms,NA,0,0,22.63
nginx /posts,800,4988.95,141.45ms,379.59ms,NA,0,0,25.25
cloudflare /posts,50,3430.76,13.36ms,25.79ms,NA,0,0,6.74
cloudflare /posts,200,3843.77,36.32ms,100.21ms,NA,0,20885,6.79
